,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,Y
1,290000,0,0,0,2262,5205,8114,0,0,2262,3000,3000,0,1
2,90000,32755,31325,28034,29753,30601,33083,2000,3000,2000,3000,3000,1000,0
3,120000,22462,15692,19312,13262,16923,16903,5000,10000,5000,7000,5000,10000,0
4,140000,1536,696,696,696,696,696,696,696,696,696,696,696,1
5,100000,89296,101755,90684,23000,25000,0,14002,560,0,2000,0,53528,0
6,160000,8460,0,0,0,0,0,0,0,0,0,0,0,0
7,280000,146368,244092,210226,177595,153181,145852,101585,90762,50119,282,50436,54184,0
8,150000,37794,39240,40653,41249,42356,43278,2000,2000,1500,1700,1700,1668,0
9,160000,8218,4450,3291,1623,905,0,1216,1000,32,905,0,0,0
10,30000,6911,10507,4785,4567,11762,4209,10523,4790,4736,55762,4209,22815,0
11,210000,6000,0,2880,0,0,0,0,2880,0,0,0,0,0
12,280000,1401,5201,3615,1963,2086,1297,5201,3615,1963,2086,1297,1154,0
13,150000,127111,106956,106129,106531,107062,109938,3878,3794,3783,3892,4662,3500,0
14,210000,65600,63396,64150,66135,70118,67254,2300,3000,3000,5000,0,3000,0
15,230000,550,0,13013,14265,13659,0,0,13013,1252,3659,0,0,0
16,20000,17233,18639,20035,19333,18135,14366,2000,2000,0,1000,500,1950,1
17,80000,12894,15449,14909,14915,15382,16374,3084,0,550,707,1400,200,1
18,30000,27284,29001,28201,28763,29383,28987,4664,0,994,1047,1412,756,0
19,150000,27707,28434,29356,30777,32193,32589,1477,1489,2000,2000,1169,1194,1
20,270000,1138,11899,5794,19857,3681,3188,11921,329,20218,3699,3204,13193,0
21,70000,8432,9596,10637,11965,12178,13962,1300,1200,1507,1000,2000,1000,0
22,240000,316,21359,2762,10264,316,9801,21359,2762,10318,316,17677,31600,0
23,50000,17962,18766,18177,19147,17827,18389,1400,0,1289,800,1000,1000,1
24,20000,21136,20043,20192,19459,36290,19774,11,2505,2000,3000,1203,500,1
25,100000,106989,98751,32099,18811,9960,10000,3910,1733,1000,1149,10000,0,1
26,350000,2394,1685,563,7535,0,1522,1685,569,7572,0,1522,700,1
27,50000,10571,2477,3234,2904,0,0,2477,2904,0,0,0,0,0
28,50000,22643,23758,24870,18740,17861,17433,1497,1609,1279,1500,0,637,1
29,360000,0,0,0,0,0,0,0,0,0,0,0,0,1
30,350000,10900,10478,-22,-22,-22,4532,10530,0,0,0,4554,0,0
31,50000,49061,46783,42977,36737,19865,16499,1406,2000,1317,700,599,604,1
