DATE,DCOILBRENTEU
4/01/2021,50.37
5/01/2021,53.16
6/01/2021,53.8
7/01/2021,53.7
8/01/2021,55.51
11/01/2021,54.84
12/01/2021,55.98
13/01/2021,55.52
14/01/2021,55.76
15/01/2021,54.8
18/01/2021,54.21
19/01/2021,55.38
20/01/2021,55.66
21/01/2021,55.68
22/01/2021,55.22
25/01/2021,55.44
26/01/2021,55.26
27/01/2021,55.07
28/01/2021,54.87
29/01/2021,55.25
1/02/2021,56.42
2/02/2021,57.62
3/02/2021,58.61
4/02/2021,58.98
5/02/2021,59.48
8/02/2021,60.17
9/02/2021,60.74
10/02/2021,61.17
11/02/2021,61.09
12/02/2021,62.47
15/02/2021,63.58
16/02/2021,63.96
17/02/2021,65.02
18/02/2021,64.09
19/02/2021,62.84
22/02/2021,64.73
23/02/2021,65.16
24/02/2021,66.85
25/02/2021,66.69
26/02/2021,65.86
1/03/2021,64.56
2/03/2021,63.17
3/03/2021,64.7
4/03/2021,67.32
5/03/2021,69.95
8/03/2021,68
9/03/2021,67.03
10/03/2021,67.53
11/03/2021,69.34
12/03/2021,68.87
15/03/2021,68.78
16/03/2021,67.95
17/03/2021,67.73
18/03/2021,62.11
19/03/2021,64
22/03/2021,63.89
23/03/2021,59.96
24/03/2021,63.7
25/03/2021,61.21
26/03/2021,63.77
29/03/2021,64.06
30/03/2021,63.28
31/03/2021,63.52
1/04/2021,63.85
2/04/2021,.
5/04/2021,.
6/04/2021,61.47
7/04/2021,61.86
8/04/2021,62.09
9/04/2021,61.89
12/04/2021,62.38
13/04/2021,62.83
14/04/2021,66.11
15/04/2021,66.13
16/04/2021,65.98
19/04/2021,66.54
20/04/2021,65.34
21/04/2021,64.02
22/04/2021,65.07
23/04/2021,65.75
26/04/2021,65.5
27/04/2021,66.25
28/04/2021,67.08
29/04/2021,68.26
30/04/2021,67.73
3/05/2021,.
4/05/2021,68.91
5/05/2021,69.71
6/05/2021,68.62
7/05/2021,68.73
10/05/2021,68.61
11/05/2021,68.83
12/05/2021,69.62
13/05/2021,67.36
14/05/2021,69.24
17/05/2021,69.62
18/05/2021,69.01
19/05/2021,66.88
20/05/2021,65.18
21/05/2021,66.72
24/05/2021,68.59
25/05/2021,68.8
26/05/2021,68.93
27/05/2021,69.43
28/05/2021,69.36
31/05/2021,.
1/06/2021,70.03
2/06/2021,70.6
3/06/2021,70.71
4/06/2021,71.3
7/06/2021,70.89
8/06/2021,71.39
9/06/2021,71.31
10/06/2021,71.65
11/06/2021,72.05
14/06/2021,72.27
15/06/2021,73.38
16/06/2021,73.88
17/06/2021,72.92
18/06/2021,73.1
21/06/2021,74.49
22/06/2021,74.92
23/06/2021,75.22
24/06/2021,75.95
25/06/2021,76.45
28/06/2021,74.78
29/06/2021,75.38
30/06/2021,76.94
1/07/2021,76.69
2/07/2021,77.51
5/07/2021,78.34
6/07/2021,75.81
7/07/2021,74.31
8/07/2021,75.07
9/07/2021,77.14
12/07/2021,76.77
13/07/2021,77.5
14/07/2021,75.74
15/07/2021,74.53
16/07/2021,74.46
19/07/2021,69.33
20/07/2021,70.03
21/07/2021,72.54
22/07/2021,74.25
23/07/2021,74.86
26/07/2021,74.79
27/07/2021,74.87
28/07/2021,75.09
29/07/2021,76.3
30/07/2021,77.72
2/08/2021,73.91
3/08/2021,73.24
4/08/2021,70.99
5/08/2021,72.14
6/08/2021,71.02
9/08/2021,69.65
10/08/2021,71.14
11/08/2021,71.99
12/08/2021,71.79
13/08/2021,70.9
16/08/2021,70.07
17/08/2021,69.4
18/08/2021,68.61
19/08/2021,66.8
20/08/2021,65.51
23/08/2021,69.07
24/08/2021,71.21
25/08/2021,72.12
26/08/2021,70.42
27/08/2021,72.26
30/08/2021,.
31/08/2021,73.45
1/09/2021,71.99
2/09/2021,73.56
3/09/2021,73.07
6/09/2021,72.43
7/09/2021,71.52
8/09/2021,72.36
9/09/2021,71.32
10/09/2021,72.44
13/09/2021,72.97
14/09/2021,73.05
15/09/2021,74.84
16/09/2021,75.14
17/09/2021,74.64
20/09/2021,73.59
21/09/2021,73.65
22/09/2021,75.5
23/09/2021,76.44
24/09/2021,77.42
27/09/2021,78.85
28/09/2021,78.3
29/09/2021,77.86
30/09/2021,77.81
1/10/2021,79.4
4/10/2021,81.44
5/10/2021,82.72
6/10/2021,81.39
7/10/2021,82.34
8/10/2021,82.17
11/10/2021,83.75
12/10/2021,83.53
13/10/2021,83.53
14/10/2021,83.86
15/10/2021,84.67
18/10/2021,84.13
19/10/2021,85.02
20/10/2021,85.76
21/10/2021,84.58
22/10/2021,85.43
25/10/2021,84.85
26/10/2021,85.11
27/10/2021,84.12
28/10/2021,83.4
29/10/2021,83.1
1/11/2021,84.51
2/11/2021,84.42
3/11/2021,81.1
4/11/2021,80.15
5/11/2021,82.43
8/11/2021,83.22
9/11/2021,84.52
10/11/2021,82.91
11/11/2021,83.4
12/11/2021,82.9
15/11/2021,81.94
16/11/2021,82.85
17/11/2021,80.67
18/11/2021,82.45
19/11/2021,80.24
22/11/2021,80.97
23/11/2021,83.43
24/11/2021,82.37
25/11/2021,82.05
26/11/2021,72.37
29/11/2021,73.34
30/11/2021,70.86
1/12/2021,69.53
2/12/2021,70.56
3/12/2021,70.71
6/12/2021,73.38
7/12/2021,75.54
8/12/2021,75.94
9/12/2021,74.1
10/12/2021,74.98
13/12/2021,74.12
14/12/2021,73.37
15/12/2021,73.71
16/12/2021,74.64
17/12/2021,72.97
20/12/2021,70.51
21/12/2021,72.85
22/12/2021,74.69
23/12/2021,76.26
24/12/2021,75.24
27/12/2021,.
28/12/2021,.
29/12/2021,78.63
30/12/2021,78.61
31/12/2021,77.24
3/01/2022,78.25
4/01/2022,79.39
5/01/2022,80.6
6/01/2022,81.99
7/01/2022,82.28
10/01/2022,81.56
11/01/2022,84.98
12/01/2022,85.83
13/01/2022,85.8
14/01/2022,87.17
17/01/2022,87.82
18/01/2022,88.83
19/01/2022,89.64
20/01/2022,89.75
21/01/2022,89.75
24/01/2022,87.74
25/01/2022,89.49
26/01/2022,91.22
27/01/2022,90.7
28/01/2022,91.47
31/01/2022,92.35
1/02/2022,90.24
2/02/2022,91.43
3/02/2022,92.99
4/02/2022,96.86
7/02/2022,97.28
8/02/2022,96.07
9/02/2022,94.95
10/02/2022,96.37
11/02/2022,97.5
14/02/2022,101.66
15/02/2022,98.43
16/02/2022,97.44
17/02/2022,95.28
18/02/2022,96.18
21/02/2022,98.95
22/02/2022,98.73
23/02/2022,99.29
24/02/2022,101.29
25/02/2022,98.56
28/02/2022,103.08
1/03/2022,110.93
2/03/2022,118.94
3/03/2022,115.36
4/03/2022,123.86
7/03/2022,129.02
8/03/2022,133.18
9/03/2022,116.58
10/03/2022,114.54
11/03/2022,118.11
14/03/2022,110.39
15/03/2022,105.14
16/03/2022,104.61
17/03/2022,113.5
18/03/2022,114.32
21/03/2022,122.29
22/03/2022,121.53
23/03/2022,127.52
24/03/2022,123.98
25/03/2022,122.67
28/03/2022,114.5
29/03/2022,112.79
30/03/2022,115.59
31/03/2022,107.29
1/04/2022,106.13
4/04/2022,108.15
5/04/2022,106.6
6/04/2022,100.81
7/04/2022,99.83
8/04/2022,101.26
11/04/2022,97.92
12/04/2022,104.42
13/04/2022,108.49
14/04/2022,110.83
15/04/2022,.
18/04/2022,.
19/04/2022,105.49
20/04/2022,105.05
21/04/2022,107.2
22/04/2022,105.15
25/04/2022,99.27
26/04/2022,102.89
27/04/2022,103.3
28/04/2022,105.78
29/04/2022,108.36
2/05/2022,.
3/05/2022,104.94
4/05/2022,110.53
5/05/2022,112.11
6/05/2022,113.86
9/05/2022,106.67
10/05/2022,102.61
11/05/2022,107.7
12/05/2022,108.06
13/05/2022,112.12
16/05/2022,114.86
17/05/2022,112.89
18/05/2022,110.04
19/05/2022,113.22
20/05/2022,113.63
23/05/2022,115.13
24/05/2022,115.77
25/05/2022,116.41
26/05/2022,119.81
27/05/2022,121.19
30/05/2022,123.01
31/05/2022,125.53
1/06/2022,122.2
2/06/2022,.
3/06/2022,125.68
6/06/2022,124.99
7/06/2022,126.89
8/06/2022,129.2
9/06/2022,128.47
10/06/2022,127.44
13/06/2022,128.44
14/06/2022,127.02
15/06/2022,124.96
16/06/2022,125.78
17/06/2022,119.22
20/06/2022,118.25
21/06/2022,118.51
22/06/2022,115.54
23/06/2022,114.5
24/06/2022,117.36
27/06/2022,119.69
28/06/2022,122.21
29/06/2022,120.8
30/06/2022,119.78
1/07/2022,119.21
4/07/2022,121.8
5/07/2022,110.49
6/07/2022,108.54
7/07/2022,113.4
8/07/2022,113.95
